3445,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.24,192,1,0,0,0,6507.57,1052.03,7677.44
3655,-0.41,1.66,3.37,0.08,0.06,9.85,-0.54,0.77,192,1,-13,-33,18,6494.70,1131.22,7599.02
3820,-0.41,1.66,3.37,0.08,0.06,9.85,-0.54,0.02,255,61,-13,-33,18,6499.95,981.90,7579.83
4033,-0.50,1.78,8.52,0.32,0.23,9.85,40.58,-0.09,255,73,-16,-43,19,4999.67,-226.65,7980.05
4199,-0.50,1.78,8.52,0.32,0.23,9.85,164.48,-0.10,255,73,-16,-43,19,5144.41,-207.00,8498.11
4417,1.64,1.83,13.15,0.06,1.75,10.31,301.91,-0.05,255,69,8,11,-3,5142.50,663.42,8374.00
4588,1.64,1.83,13.15,0.06,1.75,10.31,508.86,-0.07,255,71,8,11,-3,5285.04,-200.99,8030.44
4806,2.78,2.37,16.91,-0.64,0.89,9.71,688.76,-0.08,255,71,-11,21,8,5213.87,2137.02,8168.48
4979,-179.88,-2.98,-150.59,-9.98,5.90,0.22,881.37,-0.07,255,71,22528,-287,433,5277.32,748.33,7744.97
5158,-179.88,-2.98,-150.59,-9.98,5.90,0.22,1138.91,-0.05,255,69,22528,-287,433,5316.04,453.86,8031.39
5381,2.08,2.22,28.62,-0.49,0.54,9.38,1352.90,-0.07,255,71,-9,6,38,5304.71,2065.79,7907.86
5555,2.08,2.22,28.62,-0.49,0.54,9.38,1622.62,-0.06,255,70,-9,6,38,5334.04,1647.60,7845.33
5776,1.53,2.57,29.53,0.88,0.33,10.86,1840.66,-0.08,255,71,-22,-75,69,5341.85,755.44,7493.38
5950,1.53,2.57,29.53,0.88,0.33,10.86,2113.89,-0.06,255,127,-22,-75,69,5332.56,1968.71,7868.00
6169,0.96,2.34,30.73,2.06,0.52,10.62,2334.37,0.50,255,118,-42,-176,53,25796.36,3916.66,7693.83
6346,0.96,2.34,30.73,2.06,0.52,10.62,2631.68,1.24,255,44,-42,-176,53,4563.01,2390.96,5849.68
6572,-0.66,3.46,27.43,-1.92,-2.38,9.76,2895.17,1.23,255,46,-6,1,1121,5135.38,-138.37,7991.15
6749,-0.66,3.46,27.43,-1.92,-2.38,9.76,3170.02,0.98,192,91,-6,1,1121,4847.19,-238.83,8691.16
6970,-3.74,0.19,-10.49,-0.80,2.19,10.17,3385.36,1.02,192,87,121,390,1964,8302.77,80.59,-2066.32
7148,-3.74,0.19,-10.49,-0.80,2.19,10.17,3692.68,1.20,192,69,121,390,1964,6048.97,49.73,-1738.44
7369,2.50,-16.21,-30.70,4.28,-0.24,8.04,3759.50,1.34,192,55,-66,300,106,5993.86,43.49,4306.26
7541,2.50,-16.21,-30.70,4.28,-0.24,8.04,3734.07,1.29,192,60,-66,300,106,1619.89,5428.19,4718.67
7755,0.95,-8.21,-29.54,1.09,2.80,6.39,3720.82,1.28,192,61,-370,-915,-131,2825.68,7232.02,9263.93
7925,0.95,-8.21,-29.54,1.09,2.80,6.39,3731.10,1.27,192,63,-370,-915,-131,6953.01,-42.94,7612.80
8141,-1.30,0.19,-25.14,0.85,-2.95,9.35,3733.26,1.28,192,61,218,491,-33,7064.70,-61.65,7769.53
8309,-1.30,0.19,-25.14,0.85,-2.95,9.35,3733.26,1.25,192,64,218,491,-33,6349.08,-72.72,7908.05
8523,2.09,-6.88,-25.11,2.61,1.76,7.93,3730.55,1.26,192,63,-8,30,-96,6493.78,-73.15,7980.28
8690,2.09,-6.88,-25.11,2.61,1.76,7.93,3732.18,1.27,192,62,-8,30,-96,6688.01,-45.93,7785.06
8903,1.08,-4.79,-24.18,1.10,0.50,9.86,3731.91,1.28,192,61,-38,-81,-14,6727.55,-57.65,7782.86
9073,1.08,-4.79,-24.18,1.10,0.50,9.86,3732.18,1.26,192,64,-38,-81,-14,6424.94,-43.62,7226.54
9286,1.79,-5.79,-22.36,0.95,1.71,8.55,3731.37,1.24,192,65,89,119,-39,6581.04,-47.75,7439.84
9455,1.79,-5.79,-22.36,0.95,1.71,8.55,3731.37,1.26,192,63,89,119,-39,6408.72,-45.86,7305.94
9668,1.99,-5.70,-20.59,1.76,0.15,9.48,3731.37,1.26,192,63,-21,-37,25,6476.80,-48.59,7008.77
9837,1.99,-5.70,-20.59,1.76,0.15,9.48,3731.37,1.26,192,64,-21,-37,25,6416.73,-43.10,6938.11
10050,2.15,-5.63,-19.90,1.45,0.64,9.61,3731.37,1.27,192,62,-12,-27,8,6468.92,-46.94,6858.04
