[15723][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.64][c:0,64][w:0,0,0]
[15877][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,0][w:0,0,0]
[16029][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16182][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16334][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16488][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16641][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16793][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[16946][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[17098][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[17251][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[17403][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[17557][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.66][c:0,64][w:0,0,0]
[17713][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.56][c:0,0][w:0,0,0]
[17865][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.60][c:0,64][w:0,0,0]
[18018][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[18171][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.66][c:0,64][w:0,0,0]
[18328][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[18481][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[18633][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.56][c:0,0][w:0,0,0]
[18786][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.56][c:0,0][w:0,0,0]
[18938][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[19091][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[19244][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.59][c:0,64][w:0,0,0]
[19396][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[19549][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.56][c:0,0][w:0,0,0]
[19701][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[19855][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.56][c:0,0][w:0,0,0]
[20006][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.59][c:0,64][w:0,0,0]
[20160][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,0][w:0,0,0]
[20313][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[20465][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[20618][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.58][c:0,64][w:0,0,0]
[20770][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.57][c:0,64][w:0,0,0]
[20923][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.00,1.65][c:189,69][w:0,0,0]
[21020][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.66][c:190,68][w:0,0,0]
[21112][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.65][c:190,69][w:0,0,0]
[21204][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.64][c:189,68][w:0,0,0]
[21298][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.65][c:190,69][w:0,0,0]
[21390][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.65][c:189,68][w:0,0,0]
[21482][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.65][c:190,69][w:0,0,0]
[21574][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.66][c:189,69][w:0,0,0]
[21667][o:0.00,0.00,0.00][a:0.00,0.30,0.00][e:0.27,1.66][c:190,68][w:0,0,0]
