[14191][o:-2.56,-0.44,50.87][a:0.49,-0.30,9.84][e:-1.08,-0.13][c:0,0][w:-14,-32,23][m:526.55,3288.93,10345.80]
[14368][o:-2.57,-0.44,51.57][a:0.46,-0.30,9.83][e:-1.08,-0.13][c:0,0][w:-14,-31,22][m:527.47,3288.73,10345.54]
[14544][o:-2.57,-0.44,51.57][a:0.46,-0.30,9.83][e:-1.08,-0.12][c:0,0][w:-14,-31,22][m:523.79,3284.32,10342.58]
[14770][o:-2.64,-0.46,50.43][a:0.46,-0.29,9.82][e:-1.08,-0.13][c:0,0][w:-15,-31,23][m:524.71,3282.72,10346.12]
[14947][o:-2.64,-0.46,51.05][a:0.48,-0.28,9.83][e:-1.08,-0.12][c:0,0][w:-15,-32,23][m:521.56,3287.69,10338.75]
[15123][o:-2.64,-0.46,51.70][a:0.45,-0.29,9.83][e:-1.08,-0.12][c:0,0][w:-14,-31,22][m:523.07,3284.80,10348.57]
[15300][o:-2.64,-0.46,52.29][a:0.48,-0.29,9.81][e:-1.08,-0.12][c:0,0][w:-15,-32,23][m:521.82,3282.24,10348.22]
[15477][o:-2.64,-0.46,52.91][a:0.48,-0.30,9.84][e:-1.08,-0.12][c:0,0][w:-15,-31,22][m:524.71,3284.51,10343.31]
[15653][o:-2.64,-0.47,53.48][a:0.48,-0.28,9.81][e:-1.08,-0.12][c:0,0][w:-15,-31,22][m:523.66,3285.91,10344.87]
[15831][o:-2.64,-0.47,54.14][a:0.47,-0.29,9.82][e:-1.08,-0.13][c:0,0][w:-15,-31,22][m:526.78,3283.86,10348.00]
[16008][o:-2.64,-0.47,54.14][a:0.47,-0.29,9.82][e:-1.08,-0.11][c:0,0][w:-15,-31,22][m:519.82,3285.61,10347.04]
[16233][o:-2.55,-0.74,53.19][a:0.47,-0.29,9.81][e:-1.08,-0.13][c:0,0][w:-1,-3,-2][m:525.67,3286.85,10345.96]
[16408][o:-2.53,-0.79,53.79][a:0.45,-0.28,9.81][e:-1.08,-0.12][c:0,0][w:-2,-2,-1][m:522.45,3285.58,10348.92]
[16585][o:-2.52,-0.83,54.43][a:0.47,-0.29,9.81][e:-1.08,-0.12][c:0,0][w:-2,-2,-1][m:525.93,3285.26,10344.84]
[16762][o:-2.50,-0.88,55.00][a:0.47,-0.29,9.80][e:-1.08,-0.11][c:0,0][w:-1,-1,-1][m:524.71,3287.21,10338.27]
[16939][o:-2.48,-0.92,55.61][a:0.46,-0.30,9.83][e:-1.08,-0.13][c:0,0][w:-2,-2,-1][m:523.40,3286.46,10346.88]
[17116][o:-2.46,-0.96,56.17][a:0.46,-0.29,9.82][e:-1.08,-0.13][c:0,0][w:-1,-1,-1][m:523.83,3287.99,10348.54]
[17293][o:-2.45,-1.00,56.67][a:0.48,-0.28,9.84][e:-1.08,-0.12][c:0,0][w:-2,-2,-1][m:523.27,3283.83,10344.04]
[17469][o:-2.45,-1.00,56.67][a:0.48,-0.28,9.84][e:-1.08,-0.11][c:0,0][w:-2,-2,-1][m:529.71,3285.42,10343.92]
[17690][o:-1.98,-2.08,57.14][a:0.49,-0.29,9.84][e:-1.08,-0.12][c:0,0][w:-2,-2,0][m:523.50,3284.77,10340.44]
[17866][o:-1.97,-2.09,57.67][a:0.46,-0.30,9.85][e:-1.08,-0.12][c:0,0][w:-2,-1,-1][m:524.91,3284.45,10345.19]
[18044][o:-1.97,-2.11,58.19][a:0.46,-0.27,9.83][e:-1.08,-0.12][c:0,0][w:-2,-1,-1][m:524.78,3284.51,10344.65]
[18221][o:-1.96,-2.12,58.63][a:0.47,-0.29,9.84][e:-1.08,-0.12][c:0,0][w:-1,-2,0][m:524.71,3285.09,10343.92]
[18398][o:-1.96,-2.13,59.13][a:0.46,-0.30,9.82][e:-1.08,-0.13][c:0,0][w:-2,-2,-1][m:524.29,3284.15,10342.16]
[18575][o:-1.95,-2.15,59.59][a:0.47,-0.29,9.84][e:-1.08,-0.13][c:0,0][w:-1,-1,-1][m:522.48,3286.65,10344.49]
[18751][o:-1.95,-2.16,60.07][a:0.45,-0.28,9.83][e:-1.08,-0.15][c:0,0][w:-2,-1,0][m:525.27,3288.77,10347.33]
[18928][o:-1.95,-2.16,60.07][a:0.45,-0.28,9.83][e:-1.08,-0.11][c:0,0][w:-2,-1,0][m:9149.70,3287.34,10344.65]
[19149][o:-1.81,-2.50,60.56][a:0.46,-0.29,9.84][e:-1.08,-0.11][c:0,0][w:-2,-2,-1][m:524.85,3287.63,10344.81]
[19326][o:-1.81,-2.50,61.04][a:0.45,-0.28,9.84][e:-1.08,-0.12][c:0,0][w:-2,-1,-1][m:523.10,3289.45,10339.87]
[19503][o:-1.81,-2.50,61.49][a:0.46,-0.30,9.81][e:-1.08,-0.12][c:0,0][w:-2,-1,-1][m:526.49,3287.76,10343.47]
[19680][o:-1.81,-2.51,61.87][a:0.46,-0.28,9.84][e:-1.08,-0.13][c:0,0][w:-2,-1,-1][m:525.04,3289.74,10344.62]
[19857][o:-1.80,-2.52,62.28][a:0.47,-0.29,9.85][e:-1.08,-0.12][c:0,0][w:-2,-2,-1][m:525.04,3284.41,10343.18]
[20033][o:-1.80,-2.52,62.64][a:0.48,-0.29,9.80][e:-1.08,-0.12][c:0,0][w:-2,-1,0][m:520.25,3286.98,10346.31]
[20210][o:-1.80,-2.53,63.04][a:0.46,-0.28,9.85][e:-1.08,-0.13][c:0,0][w:-1,-2,-1][m:524.12,3283.05,10344.27]
[20387][o:-1.80,-2.53,63.04][a:0.46,-0.28,9.85][e:-1.08,-0.13][c:0,0][w:-1,-2,-1][m:524.71,3284.87,10347.04]
[20596][o:-1.75,-2.64,63.44][a:0.47,-0.30,9.82][e:-1.08,-0.11][c:194,69][w:-2,-1,-1][m:467.04,3297.57,10324.08]
[20710][o:-1.75,-2.64,63.83][a:0.47,-0.29,9.81][e:-1.08,-0.10][c:194,70][w:-2,-1,-1][m:468.26,3307.51,10298.67]
[20823][o:-1.75,-2.65,64.18][a:0.46,-0.29,9.80][e:-1.08,-0.10][c:193,70][w:-2,-2,-1][m:471.51,3310.07,10301.38]
[20931][o:-1.75,-2.65,64.54][a:0.47,-0.28,9.83][e:-1.08,-0.10][c:193,69][w:-2,-1,-2][m:466.22,3300.75,10302.97]
[21044][o:-1.75,-2.65,64.87][a:0.46,-0.30,9.81][e:-1.08,-0.12][c:193,70][w:-1,-2,0][m:462.74,3303.19,10303.45]
[21155][o:-1.75,-2.65,65.22][a:0.47,-0.30,9.80][e:-1.08,-0.11][c:189,70][w:-2,-2,-1][m:466.85,3306.11,10310.56]
[21265][o:-1.75,-2.65,65.55][a:0.47,-0.29,9.83][e:-1.08,-0.11][c:185,69][w:-2,-1,-1][m:464.74,3307.41,10293.82]
[21378][o:-1.75,-2.65,65.90][a:0.48,-0.30,9.87][e:-1.08,-0.11][c:186,69][w:-2,-1,0][m:468.42,3307.02,10289.26]
[21489][o:-1.75,-2.65,66.21][a:0.47,-0.28,9.82][e:-1.08,-0.11][c:185,70][w:-1,-2,-1][m:470.36,3309.78,10317.29]
[21599][o:-1.75,-2.65,66.52][a:0.46,-0.30,9.82][e:-1.08,-0.10][c:180,69][w:-2,-2,0][m:470.46,3308.42,10308.81]
[21710][o:-1.75,-2.66,66.84][a:0.47,-0.28,9.84][e:-1.08,-0.10][c:174,69][w:-1,-1,0][m:467.73,3310.66,10292.61]
[21823][o:-1.75,-2.66,67.14][a:0.47,-0.30,9.82][e:-1.08,-0.12][c:174,70][w:-2,-2,-1][m:468.62,3314.30,10296.59]
[21936][o:-1.75,-2.66,67.14][a:0.47,-0.30,9.82][e:-1.08,-0.10][c:171,70][w:-2,-2,-1][m:535.16,3290.68,10329.31]
[22100][o:-1.73,-2.70,67.44][a:0.48,-0.30,9.80][e:-1.62,-0.11][c:165,70][w:-1,-2,-1][m:470.26,3307.31,10281.64]
[22213][o:-1.73,-2.70,67.73][a:0.48,-0.30,9.85][e:-2.16,-0.10][c:166,69][w:0,0,-3][m:459.16,3312.28,10250.42]
[22321][o:-1.74,-2.70,68.06][a:0.48,-0.32,9.79][e:-4.87,-0.10][c:166,71][w:-2,-4,0][m:602.88,3285.06,9967.86]
[22433][o:-1.74,-2.70,68.39][a:0.46,-0.30,9.87][e:-10.55,-0.11][c:164,70][w:-3,-3,1][m:473.87,3316.31,10286.71]
[22547][o:-1.74,-2.70,68.61][a:0.44,-0.30,9.81][e:-20.83,-0.10][c:162,67][w:0,0,0][m:679.33,3263.72,10087.82]
[22659][o:-1.74,-2.70,68.89][a:0.46,-0.27,9.81][e:-36.52,-0.11][c:161,67][w:-1,-2,0][m:574.90,3316.02,10104.25]
[22768][o:-1.73,-2.70,69.19][a:0.51,-0.27,9.83][e:-58.43,-0.11][c:161,68][w:0,0,-1][m:750.83,3244.01,10107.47]
[22880][o:-1.73,-2.70,69.43][a:0.48,-0.26,9.83][e:-86.84,-0.13][c:160,65][w:-2,-2,-1][m:604.13,3237.28,10086.90]
[22993][o:-1.73,-2.70,69.66][a:0.46,-0.27,9.86][e:-120.11,-0.13][c:158,67][w:-3,-3,1][m:544.02,3177.26,10128.93]
[23102][o:-1.73,-2.70,69.90][a:0.44,-0.33,9.82][e:-156.91,-0.13][c:158,66][w:-3,-4,2][m:655.06,3184.99,10171.50]
[23215][o:-1.74,-2.69,70.16][a:0.47,-0.36,9.88][e:-197.48,-0.11][c:156,64][w:-2,-2,3][m:695.56,3158.16,10177.01]
[23327][o:-1.75,-2.70,70.40][a:0.52,-0.48,9.80][e:-242.39,-0.13][c:154,63][w:0,2,0][m:700.65,3180.70,10120.54]
[23435][o:-1.78,-2.72,70.63][a:0.62,-0.59,9.84][e:-292.71,-0.13][c:150,64][w:-2,1,-2][m:764.89,3124.51,10133.96]
[23548][o:-1.78,-2.72,70.63][a:0.62,-0.59,9.84][e:-370.89,-0.13][c:151,64][w:-2,1,-2][m:559.79,3164.27,10323.09]
[23717][o:-2.90,-3.01,68.96][a:0.39,-0.37,9.87][e:-423.10,-0.13][c:150,66][w:-7,-24,54][m:396.11,3208.60,10224.91]
[23827][o:-2.88,-2.96,69.08][a:0.38,-0.29,9.79][e:-477.75,-0.11][c:151,68][w:-13,-19,52][m:502.25,3205.94,10289.26]
[23940][o:-2.86,-2.92,69.28][a:0.36,-0.29,9.98][e:-534.56,-0.12][c:152,79][w:-5,-19,49][m:680.32,3230.62,10357.76]
[24052][o:-2.85,-2.87,69.42][a:0.41,-0.34,9.61][e:-594.89,-0.08][c:150,65][w:-10,-20,50][m:600.02,3149.97,10388.69]
[24161][o:-2.83,-2.84,69.55][a:0.38,-0.25,10.20][e:-659.27,-0.09][c:148,63][w:-8,-21,51][m:644.78,3116.81,10204.76]
[24273][o:-2.82,-2.80,69.69][a:0.39,-0.33,9.48][e:-727.72,-0.10][c:150,63][w:-11,-16,55][m:393.41,3213.70,10269.49]
[24386][o:-2.80,-2.76,69.83][a:0.37,-0.28,10.15][e:-795.89,-0.09][c:150,64][w:-4,-17,52][m:502.38,3147.83,10329.18]
[24499][o:-2.79,-2.73,70.00][a:0.36,-0.34,9.71][e:-865.68,-0.09][c:148,62][w:-5,-7,33][m:521.33,3183.53,10227.78]
[24606][o:-2.77,-2.72,70.17][a:0.39,-0.43,9.81][e:-936.29,-0.09][c:150,61][w:-7,-2,35][m:761.27,3134.84,10983.62]
[24719][o:-2.78,-2.71,70.32][a:0.42,-0.46,10.00][e:-1008.52,-0.08][c:150,65][w:-4,-1,36][m:610.43,3111.68,10401.79]
[24833][o:-2.78,-2.70,70.49][a:0.41,-0.56,9.43][e:-1083.19,-0.10][c:148,63][w:-7,-3,38][m:501.89,3118.44,10125.61]
[24940][o:-2.78,-2.70,70.66][a:0.49,-0.43,10.50][e:-1158.12,-0.07][c:147,61][w:-3,-4,36][m:359.09,3186.48,10055.20]
[25053][o:-2.78,-2.70,70.66][a:0.49,-0.43,10.50][e:-1269.85,-0.11][c:179,64][w:-3,-4,36][m:570.50,3093.91,10155.90]
[25222][o:-2.76,-2.65,69.68][a:0.31,-0.33,9.79][e:-1342.08,-0.11][c:184,62][w:0,2,18][m:410.00,3100.31,10077.17]
[25329][o:-2.75,-2.64,69.95][a:0.38,-0.37,9.79][e:-1411.88,-0.10][c:182,63][w:-3,-5,17][m:394.76,3124.67,10290.73]
[25443][o:-2.74,-2.62,70.24][a:0.46,-0.35,9.60][e:-1477.61,-0.10][c:183,63][w:4,-5,17][m:335.61,3093.88,10794.85]
[25554][o:-2.72,-2.62,70.51][a:0.32,-0.31,9.12][e:-1511.70,-0.04][c:188,68][w:-2,6,19][m:-155.87,3326.83,11123.80]
[25663][o:-2.68,-2.63,70.82][a:0.30,-0.18,10.31][e:-1513.32,-0.00][c:188,71][w:-2,9,12][m:-132.85,3409.56,11047.94]
[25777][o:-2.65,-2.61,71.12][a:0.38,-0.24,9.20][e:-1507.91,-0.00][c:189,71][w:-5,-10,12][m:-149.92,3242.19,10103.96]
[25889][o:-2.62,-2.59,71.43][a:0.40,-0.18,10.26][e:-1507.37,0.02][c:189,70][w:-2,-2,22][m:-135.01,3583.08,10100.61]
[25998][o:-2.59,-2.59,71.67][a:0.28,-0.22,9.70][e:-1508.99,0.03][c:188,71][w:3,9,26][m:-144.08,3491.51,10643.57]
[26108][o:-2.55,-2.57,71.92][a:0.32,-0.23,9.72][e:-1508.72,0.06][c:190,71][w:-4,2,17][m:-134.19,3457.18,10419.40]
[26221][o:-2.51,-2.56,72.12][a:0.27,-0.23,10.04][e:-1508.72,0.04][c:189,70][w:4,8,13][m:-140.86,3492.13,10549.40]
